customerID,gender,SeniorCitizen,Tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,InternetType,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2562-VNXYL,Male,0,25,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,70.05,1707.05,Yes
3668-ASWMG,Female,0,36,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,DSL,No,Bank transfer,89.4,3218.4,No
9218-KRJBS,Male,0,59,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Fiber optic,No,Credit card,111.45,6579.75,No
5574-WNDYX,Female,0,15,Yes,DSL,No,No,No,No,No,No,Month-to-month,DSL,Yes,Mailed check,45.25,680.8,Yes
8623-TXRVN,Male,0,48,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Fiber optic,No,Bank transfer,101.35,4872.8,No
2682-JZXQN,Female,0,3,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,62.1,192.05,Yes
7635-NXVVB,Male,0,21,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,DSL,No,Electronic check,85.3,1796.45,No
4960-JKBFC,Female,0,69,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,DSL,No,Credit card,109.5,7541.5,No
3668-MMEVL,Male,0,7,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Fiber optic,Yes,Mailed check,68.4,503.4,Yes
1850-QORSL,Female,0,33,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,DSL,No,Bank transfer,96.25,3149.5,No
2765-KXBKV,Male,0,16,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,72.85,1168.35,Yes
7237-XQGSX,Female,0,63,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,DSL,No,Credit card,104.2,6593.8,No
4738-KZQOP,Male,0,29,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Fiber optic,Yes,Electronic check,88.45,2569.55,No
6714-ULVTL,Female,0,51,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,DSL,No,Bank transfer,111.35,5571.35,No
3668-KKNKQ,Male,0,6,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,64.85,393.1,Yes
1950-MMKNX,Female,0,39,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,DSL,No,Mailed check,94.15,3640.45,No
4970-APWSF,Male,0,12,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,61.45,752.8,Yes
3668-PMJNY,Female,0,58,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,DSL,No,Bank transfer,105.5,6087.5,No
2803-KSVYZ,Male,0,26,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,74.25,1915.25,No
6847-JQMRF,Female,0,41,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,DSL,No,Credit card,92.8,3801.2,No
7156-SPBDM,Male,0,73,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,DSL,No,Bank transfer,110.75,8037.75,No
4673-EZZCK,Female,0,8,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Fiber optic,Yes,Mailed check,69.9,544.85,Yes
9219-ETUKM,Male,0,42,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,DSL,No,Electronic check,98.45,4173.9,No
1857-SJYGW,Female,0,24,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,67.85,1608.05,Yes
5678-EKHDE,Male,0,65,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,DSL,No,Credit card,108.15,7052.75,No
3668-OKLJM,Female,0,14,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Fiber optic,Yes,Mailed check,71.5,1029.5,Yes
2874-PHLPD,Male,0,35,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,DSL,No,Bank transfer,88.75,3081.25,No
5847-LXBJK,Female,0,61,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Fiber optic,No,Credit card,112.1,6841.1,No
3668-SGTAQ,Male,0,20,Yes,DSL,No,No,No,No,No,No,Month-to-month,DSL,Yes,Electronic check,43.7,873.5,No
7742-YKIWF,Female,0,27,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Fiber optic,Yes,Mailed check,68.85,1854.95,Yes
6379-QJHVE,Male,0,46,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,DSL,No,Bank transfer,102.3,4710.9,No
9520-ABCXY,Female,0,32,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,65.4,2091.8,No
4827-DHJKL,Male,0,57,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,DSL,No,Credit card,107.85,6138.45,No
3668-VWXYZ,Female,0,18,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Fiber optic,Yes,Mailed check,72.1,1297.8,Yes
